"lower.limit","upper.limit","intrvl.width","intrvl.level","cdf","pvalue","svalue","ci_label","interval_text","excludes_null"
-5.37251249365328,-5.31643065179207,0.0560818418612179,0.04,0.52,0.96,0.0588936890535686,"4% CI","[-5.3725, -5.3164]",TRUE
-5.37321412701642,-5.31572901842893,0.0574851085874801,0.041,0.5205,0.959,0.0603972796439563,"4.1% CI","[-5.3732, -5.3157]",TRUE
-5.37391580564776,-5.31502733979759,0.0588884658501794,0.042,0.521,0.958,0.0619024389259069,"4.2% CI","[-5.3739, -5.315]",TRUE
-5.3746175306585,-5.31432561478685,0.0602919158716562,0.043,0.5215,0.957,0.0634091701760615,"4.3% CI","[-5.3746, -5.3143]",TRUE
-5.37531930316031,-5.31362384228504,0.0616954608752724,0.044,0.522,0.956,0.0649174766813385,"4.4% CI","[-5.3753, -5.3136]",TRUE
-5.3760211242654,-5.31292202117995,0.0630991030854418,0.045,0.5225,0.955,0.0664273617389761,"4.5% CI","[-5.376, -5.3129]",TRUE
-5.3767229950865,-5.31222015035885,0.0645028447276559,0.046,0.523,0.954,0.0679388286565756,"4.6% CI","[-5.3767, -5.3122]",TRUE
-5.37742491673692,-5.31151822870843,0.0659066880284991,0.047,0.5235,0.953,0.0694518807521452,"4.7% CI","[-5.3774, -5.3115]",TRUE
-5.37812689033052,-5.31081625511483,0.0673106352156871,0.048,0.524,0.952,0.0709665213541436,"4.8% CI","[-5.3781, -5.3108]",TRUE
-5.37882891698172,-5.31011422846363,0.0687146885180834,0.049,0.5245,0.951,0.0724827538015237,"4.9% CI","[-5.3788, -5.3101]",TRUE
-5.37953099780554,-5.30941214763981,0.0701188501657235,0.05,0.525,0.95,0.0740005814437769,"5% CI","[-5.3795, -5.3094]",TRUE
-5.3802331339176,-5.30871001152775,0.0715231223898467,0.051,0.5255,0.949,0.0755200076409777,"5.1% CI","[-5.3802, -5.3087]",TRUE
-5.38093532643413,-5.30800781901122,0.0729275074229143,0.052,0.526,0.948,0.077041035763828,"5.2% CI","[-5.3809, -5.308]",TRUE
-5.381637576472,-5.30730556897336,0.07433200749864,0.053,0.5265,0.947,0.0785636691937021,"5.3% CI","[-5.3816, -5.3073]",TRUE
-5.38233988514868,-5.30660326029667,0.0757366248520075,0.054,0.527,0.946,0.0800879113226919,"5.4% CI","[-5.3823, -5.3066]",TRUE
-5.38304225358233,-5.30590089186302,0.0771413617193062,0.055,0.5275,0.945,0.0816137655536521,"5.5% CI","[-5.383, -5.3059]",TRUE
-5.38374468289175,-5.3051984625536,0.0785462203381471,0.056,0.528,0.944,0.0831412353002459,"5.6% CI","[-5.3837, -5.3052]",TRUE
-5.38444717419642,-5.30449597124893,0.0799512029474947,0.057,0.5285,0.943,0.0846703239869906,"5.7% CI","[-5.3844, -5.3045]",TRUE
-5.38514972861652,-5.30379341682883,0.0813563117876868,0.058,0.529,0.942,0.0862010350493039,"5.8% CI","[-5.3851, -5.3038]",TRUE
-5.38585234727291,-5.30309079817244,0.0827615491004643,0.059,0.5295,0.941,0.0877333719335502,"5.9% CI","[-5.3859, -5.3031]",TRUE
-5.38655503128717,-5.30238811415818,0.0841669171289929,0.06,0.53,0.94,0.0892673380970874,"6% CI","[-5.3866, -5.3024]",TRUE
-5.38725778178162,-5.30168536366373,0.0855724181178932,0.061,0.5305,0.939,0.0908029370083124,"6.1% CI","[-5.3873, -5.3017]",TRUE
-5.38796059987931,-5.30098254556604,0.0869780543132617,0.062,0.531,0.938,0.0923401721467106,"6.2% CI","[-5.388, -5.301]",TRUE
-5.38866348670402,-5.30027965874133,0.0883838279626943,0.063,0.5315,0.937,0.0938790470029001,"6.3% CI","[-5.3887, -5.3003]",TRUE
-5.38936644338034,-5.29957670206501,0.0897897413153217,0.064,0.532,0.936,0.0954195650786826,"6.4% CI","[-5.3894, -5.2996]",TRUE
-5.39006947103359,-5.29887367441176,0.0911957966218218,0.065,0.5325,0.935,0.096961729887088,"6.5% CI","[-5.3901, -5.2989]",TRUE
-5.3907725707899,-5.29817057465544,0.0926019961344604,0.066,0.533,0.934,0.0985055449524252,"6.6% CI","[-5.3908, -5.2982]",TRUE
-5.39147574377623,-5.29746740166912,0.0940083421071005,0.067,0.5335,0.933,0.100051013810328,"6.7% CI","[-5.3915, -5.2975]",TRUE
-5.3921789911203,-5.29676415432505,0.0954148367952428,0.068,0.534,0.932,0.101598140007807,"6.8% CI","[-5.3922, -5.2968]",TRUE
-5.39288231395069,-5.29606083149466,0.096821482456038,0.069,0.5345,0.931,0.103146927103293,"6.9% CI","[-5.3929, -5.2961]",TRUE
-5.39358571339684,-5.29535743204851,0.0982282813483248,0.07,0.535,0.93,0.104697378666693,"7% CI","[-5.3936, -5.2954]",TRUE
-5.394289190589,-5.29465395485635,0.0996352357326487,0.071,0.5355,0.929,0.106249498279434,"7.1% CI","[-5.3943, -5.2947]",TRUE
-5.39499274665832,-5.29395039878703,0.101042347871291,0.072,0.536,0.928,0.107803289534515,"7.2% CI","[-5.395, -5.294]",TRUE
-5.39569638273682,-5.29324676270853,0.102449620028288,0.073,0.5365,0.927,0.109358756036556,"7.3% CI","[-5.3957, -5.2932]",TRUE
-5.39640009995741,-5.29254304548794,0.10385705446947,0.074,0.537,0.926,0.110915901401851,"7.4% CI","[-5.3964, -5.2925]",TRUE
-5.39710389945391,-5.29183924599144,0.105264653462473,0.075,0.5375,0.925,0.112474729258412,"7.5% CI","[-5.3971, -5.2918]",TRUE
-5.39780778236106,-5.29113536308429,0.106672419276778,0.076,0.538,0.924,0.114035243246029,"7.6% CI","[-5.3978, -5.2911]",TRUE
-5.39851174981454,-5.29043139563081,0.108080354183723,0.077,0.5385,0.923,0.115597447016313,"7.7% CI","[-5.3985, -5.2904]",TRUE
-5.39921580295095,-5.2897273424944,0.109488460456543,0.078,0.539,0.922,0.117161344232749,"7.8% CI","[-5.3992, -5.2897]",TRUE
-5.39991994290787,-5.28902320253748,0.110896740370389,0.079,0.5395,0.921,0.118726938570751,"7.9% CI","[-5.3999, -5.289]",TRUE
-5.40062417082385,-5.2883189746215,0.112305196202351,0.08,0.54,0.92,0.120294233717712,"8% CI","[-5.4006, -5.2883]",TRUE
-5.40132848783842,-5.28761465760693,0.113713830231498,0.081,0.5405,0.919,0.121863233373052,"8.1% CI","[-5.4013, -5.2876]",TRUE
-5.40203289509212,-5.28691025035323,0.115122644738886,0.082,0.541,0.918,0.123433941248279,"8.2% CI","[-5.402, -5.2869]",TRUE
-5.40273739372647,-5.28620575171888,0.116531642007599,0.083,0.5415,0.917,0.125006361067033,"8.3% CI","[-5.4027, -5.2862]",TRUE
-5.40344198488406,-5.28550116056129,0.117940824322769,0.084,0.542,0.916,0.126580496565143,"8.4% CI","[-5.4034, -5.2855]",TRUE
-5.40414666970848,-5.28479647573687,0.119350193971606,0.085,0.5425,0.915,0.128156351490682,"8.5% CI","[-5.4041, -5.2848]",TRUE
-5.40485144934438,-5.28409169610097,0.120759753243419,0.086,0.543,0.914,0.129733929604017,"8.6% CI","[-5.4049, -5.2841]",TRUE
-5.4055563249375,-5.28338682050785,0.12216950442965,0.087,0.5435,0.913,0.131313234677865,"8.7% CI","[-5.4056, -5.2834]",TRUE
-5.40626129763462,-5.28268184781073,0.123579449823894,0.088,0.544,0.912,0.132894270497345,"8.8% CI","[-5.4063, -5.2827]",TRUE
-5.40696636858364,-5.28197677686171,0.124989591721933,0.089,0.5445,0.911,0.134477040860036,"8.9% CI","[-5.407, -5.282]",TRUE
-5.40767153893355,-5.2812716065118,0.126399932421757,0.09,0.545,0.91,0.136061549576028,"9% CI","[-5.4077, -5.2813]",TRUE
-5.40837680983447,-5.28056633561088,0.127810474223594,0.091,0.5455,0.909,0.13764780046798,"9.1% CI","[-5.4084, -5.2806]",TRUE
-5.40908218243764,-5.27986096300771,0.129221219429933,0.092,0.546,0.908,0.139235797371172,"9.2% CI","[-5.4091, -5.2799]",TRUE
-5.40978765789546,-5.2791554875499,0.13063217034556,0.093,0.5465,0.907,0.140825544133565,"9.3% CI","[-5.4098, -5.2792]",TRUE
-5.41049323736146,-5.27844990808389,0.132043329277574,0.094,0.547,0.906,0.142417044615852,"9.4% CI","[-5.4105, -5.2784]",TRUE
-5.41119892199039,-5.27774422345496,0.133454698535424,0.095,0.5475,0.905,0.144010302691519,"9.5% CI","[-5.4112, -5.2777]",TRUE
-5.41190471293814,-5.27703843250721,0.134866280430931,0.096,0.548,0.904,0.145605322246899,"9.6% CI","[-5.4119, -5.277]",TRUE
-5.41261061136183,-5.27633253408352,0.136278077278313,0.097,0.5485,0.903,0.147202107181229,"9.7% CI","[-5.4126, -5.2763]",TRUE
-5.41331661841979,-5.27562652702556,0.137690091394223,0.098,0.549,0.902,0.148800661406706,"9.8% CI","[-5.4133, -5.2756]",TRUE
-5.41402273527156,-5.27492041017379,0.139102325097761,0.099,0.5495,0.901,0.150400988848548,"9.9% CI","[-5.414, -5.2749]",TRUE
-5.41472896307794,-5.27421418236741,0.140514780710522,0.1,0.55,0.9,0.15200309344505,"10% CI","[-5.4147, -5.2742]",TRUE
-5.41543530300097,-5.27350784244438,0.141927460556598,0.101,0.5505,0.899,0.15360697914764,"10.1% CI","[-5.4154, -5.2735]",TRUE
-5.41614175620399,-5.27280138924136,0.143340366962629,0.102,0.551,0.898,0.15521264992094,"10.2% CI","[-5.4161, -5.2728]",TRUE
-5.41684832385159,-5.27209482159376,0.144753502257821,0.103,0.5515,0.897,0.156820109742826,"10.3% CI","[-5.4168, -5.2721]",TRUE
-5.41755500710966,-5.27138813833569,0.146166868773971,0.104,0.552,0.896,0.158429362604483,"10.4% CI","[-5.4176, -5.2714]",TRUE
-5.41826180714543,-5.27068133829992,0.147580468845501,0.105,0.5525,0.895,0.160040412510468,"10.5% CI","[-5.4183, -5.2707]",TRUE
-5.41896872512742,-5.26997442031793,0.148994304809481,0.106,0.553,0.894,0.161653263478769,"10.6% CI","[-5.419, -5.27]",TRUE
-5.41967576222551,-5.26926738321984,0.150408379005665,0.107,0.5535,0.893,0.163267919540864,"10.7% CI","[-5.4197, -5.2693]",TRUE
-5.42038291961093,-5.26856022583442,0.151822693776509,0.108,0.554,0.892,0.164884384741782,"10.8% CI","[-5.4204, -5.2686]",TRUE
-5.42109019845628,-5.26785294698907,0.153237251467205,0.109,0.5545,0.891,0.166502663140165,"10.9% CI","[-5.4211, -5.2679]",TRUE
-5.42179759993553,-5.26714554550982,0.154652054425711,0.11,0.555,0.89,0.168122758808327,"11% CI","[-5.4218, -5.2671]",TRUE
-5.42250512522406,-5.26643802022129,0.156067105002775,0.111,0.5555,0.889,0.169744675832317,"11.1% CI","[-5.4225, -5.2664]",TRUE
-5.42321277549866,-5.26573036994669,0.157482405551969,0.112,0.556,0.888,0.171368418311981,"11.2% CI","[-5.4232, -5.2657]",TRUE
-5.42392055193753,-5.26502259350782,0.158897958429709,0.113,0.5565,0.887,0.172993990361023,"11.3% CI","[-5.4239, -5.265]",TRUE
-5.42462845572032,-5.26431468972503,0.160313765995294,0.114,0.557,0.886,0.174621396107069,"11.4% CI","[-5.4246, -5.2643]",TRUE
-5.42533648802814,-5.26360665741721,0.161729830610929,0.115,0.5575,0.885,0.176250639691727,"11.5% CI","[-5.4253, -5.2636]",TRUE
-5.42604465004355,-5.2628984954018,0.163146154641755,0.116,0.558,0.884,0.177881725270655,"11.6% CI","[-5.426, -5.2629]",TRUE
-5.42675294295061,-5.26219020249474,0.164562740455874,0.117,0.5585,0.883,0.179514657013621,"11.7% CI","[-5.4268, -5.2622]",TRUE
-5.42746136793487,-5.26148177751048,0.165979590424389,0.118,0.559,0.882,0.181149439104566,"11.8% CI","[-5.4275, -5.2615]",TRUE
-5.42816992618339,-5.26077321926196,0.167396706921421,0.119,0.5595,0.881,0.182786075741673,"11.9% CI","[-5.4282, -5.2608]",TRUE
-5.42887861888475,-5.2600645265606,0.168814092324146,0.12,0.56,0.88,0.184424571137427,"12% CI","[-5.4289, -5.2601]",TRUE
-5.42958744722909,-5.25935569821626,0.170231749012821,0.121,0.5605,0.879,0.186064929518683,"12.1% CI","[-5.4296, -5.2594]",TRUE
-5.43029641240808,-5.25864673303727,0.171649679370812,0.122,0.561,0.878,0.187707155126729,"12.2% CI","[-5.4303, -5.2586]",TRUE
-5.43100551561499,-5.25793762983036,0.173067885784633,0.123,0.5615,0.877,0.189351252217354,"12.3% CI","[-5.431, -5.2579]",TRUE
-5.43171475804465,-5.2572283874007,0.174486370643959,0.124,0.562,0.876,0.190997225060914,"12.4% CI","[-5.4317, -5.2572]",TRUE
-5.43242414089351,-5.25651900455184,0.175905136341672,0.125,0.5625,0.875,0.192645077942396,"12.5% CI","[-5.4324, -5.2565]",TRUE
-5.43313366535962,-5.25580948008573,0.177324185273884,0.126,0.563,0.874,0.194294815161489,"12.6% CI","[-5.4331, -5.2558]",TRUE
-5.43384333264266,-5.25509981280269,0.178743519839964,0.127,0.5635,0.873,0.195946441032647,"12.7% CI","[-5.4338, -5.2551]",TRUE
-5.43455314394396,-5.25439000150139,0.180163142442572,0.128,0.564,0.872,0.197599959885161,"12.8% CI","[-5.4346, -5.2544]",TRUE
-5.43526310046652,-5.25368004497883,0.181583055487687,0.129,0.5645,0.871,0.199255376063222,"12.9% CI","[-5.4353, -5.2537]",TRUE
-5.435973203415,-5.25296994203035,0.183003261384645,0.13,0.565,0.87,0.200912693925996,"13% CI","[-5.436, -5.253]",TRUE
-5.43668345399575,-5.2522596914496,0.184423762546155,0.131,0.5655,0.869,0.202571917847687,"13.1% CI","[-5.4367, -5.2523]",TRUE
-5.43739385341684,-5.2515492920285,0.18584456138834,0.132,0.566,0.868,0.204233052217608,"13.2% CI","[-5.4374, -5.2515]",TRUE
-5.43810440288806,-5.25083874255729,0.187265660330766,0.133,0.5665,0.867,0.205896101440252,"13.3% CI","[-5.4381, -5.2508]",TRUE
-5.43881510362091,-5.25012804182444,0.188687061796473,0.134,0.567,0.866,0.207561069935362,"13.4% CI","[-5.4388, -5.2501]",TRUE
-5.43952595682867,-5.24941718861668,0.190108768211999,0.135,0.5675,0.865,0.209227962138,"13.5% CI","[-5.4395, -5.2494]",TRUE
-5.44023696372639,-5.24870618171896,0.191530782007421,0.136,0.568,0.864,0.210896782498619,"13.6% CI","[-5.4402, -5.2487]",TRUE
-5.44094812553086,-5.24799501991449,0.192953105616377,0.137,0.5685,0.863,0.212567535483132,"13.7% CI","[-5.4409, -5.248]",TRUE
-5.44165944346073,-5.24728370198462,0.194375741476108,0.138,0.569,0.862,0.214240225572989,"13.8% CI","[-5.4417, -5.2473]",TRUE
-5.44237091873641,-5.24657222670894,0.195798692027473,0.139,0.5695,0.861,0.215914857265243,"13.9% CI","[-5.4424, -5.2466]",TRUE
-5.44308255258017,-5.24586059286518,0.197221959715,0.14,0.57,0.86,0.217591435072627,"14% CI","[-5.4431, -5.2459]",TRUE
-5.44379434621612,-5.24514879922923,0.198645546986898,0.141,0.5705,0.859,0.219269963523624,"14.1% CI","[-5.4438, -5.2451]",TRUE
-5.44450630087023,-5.24443684457512,0.200069456295102,0.142,0.571,0.858,0.220950447162541,"14.2% CI","[-5.4445, -5.2444]",TRUE
-5.44521841777033,-5.24372472767502,0.201493690095303,0.143,0.5715,0.857,0.222632890549587,"14.3% CI","[-5.4452, -5.2437]",TRUE
-5.44593069814616,-5.24301244729919,0.202918250846972,0.144,0.572,0.856,0.22431729826094,"14.4% CI","[-5.4459, -5.243]",TRUE
-5.44664314322937,-5.24230000221598,0.2043431410134,0.145,0.5725,0.855,0.226003674888827,"14.5% CI","[-5.4466, -5.2423]",TRUE
-5.44735575425354,-5.24158739119181,0.205768363061726,0.146,0.573,0.854,0.227692025041597,"14.6% CI","[-5.4474, -5.2416]",TRUE
-5.44806853245416,-5.24087461299119,0.20719391946297,0.147,0.5735,0.853,0.229382353343797,"14.7% CI","[-5.4481, -5.2409]",TRUE
-5.44878147906871,-5.24016166637664,0.208619812692067,0.148,0.574,0.852,0.231074664436249,"14.8% CI","[-5.4488, -5.2402]",TRUE
-5.44949459533662,-5.23944855010873,0.210046045227896,0.149,0.5745,0.851,0.232768962976124,"14.9% CI","[-5.4495, -5.2394]",TRUE
-5.45020788249933,-5.23873526294602,0.211472619553316,0.15,0.575,0.85,0.234465253637023,"15% CI","[-5.4502, -5.2387]",TRUE
-5.45092134180027,-5.23802180364508,0.212899538155193,0.151,0.5755,0.849,0.236163541109049,"15.1% CI","[-5.4509, -5.238]",TRUE
-5.4516349744849,-5.23730817096045,0.214326803524443,0.152,0.576,0.848,0.237863830098888,"15.2% CI","[-5.4516, -5.2373]",TRUE
-5.4523487818007,-5.23659436364465,0.215754418156054,0.153,0.5765,0.847,0.239566125329888,"15.3% CI","[-5.4523, -5.2366]",TRUE
-5.45306276499724,-5.23588038044811,0.217182384549124,0.154,0.577,0.846,0.241270431542137,"15.4% CI","[-5.4531, -5.2359]",TRUE
-5.45377692532612,-5.23516622011923,0.218610705206896,0.155,0.5775,0.845,0.24297675349254,"15.5% CI","[-5.4538, -5.2352]",TRUE
-5.45449126404107,-5.23445188140428,0.220039382636785,0.156,0.578,0.844,0.244685095954902,"15.6% CI","[-5.4545, -5.2345]",TRUE
-5.45520578239788,-5.23373736304747,0.221468419350419,0.157,0.5785,0.843,0.246395463720005,"15.7% CI","[-5.4552, -5.2337]",TRUE
-5.45592048165451,-5.23302266379084,0.222897817863666,0.158,0.579,0.842,0.248107861595691,"15.8% CI","[-5.4559, -5.233]",TRUE
-5.45663536307101,-5.23230778237434,0.224327580696672,0.159,0.5795,0.841,0.249822294406943,"15.9% CI","[-5.4566, -5.2323]",TRUE
-5.45735042790962,-5.23159271753573,0.225757710373895,0.16,0.58,0.84,0.251538766995964,"16% CI","[-5.4574, -5.2316]",TRUE
-5.45806567743474,-5.23087746801061,0.227188209424133,0.161,0.5805,0.839,0.253257284222264,"16.1% CI","[-5.4581, -5.2309]",TRUE
-5.45878111291296,-5.23016203253239,0.228619080380565,0.162,0.581,0.838,0.254977850962736,"16.2% CI","[-5.4588, -5.2302]",TRUE
-5.45949673561307,-5.22944640983228,0.230050325780782,0.163,0.5815,0.837,0.256700472111743,"16.3% CI","[-5.4595, -5.2294]",TRUE
-5.46021254680609,-5.22873059863926,0.231481948166822,0.164,0.582,0.836,0.258425152581204,"16.4% CI","[-5.4602, -5.2287]",TRUE
-5.46092854776528,-5.22801459768007,0.232913950085203,0.165,0.5825,0.835,0.260151897300673,"16.5% CI","[-5.4609, -5.228]",TRUE
-5.46164473976616,-5.22729840567919,0.234346334086963,0.166,0.583,0.834,0.261880711217424,"16.6% CI","[-5.4616, -5.2273]",TRUE
-5.46236112408652,-5.22658202135883,0.235779102727685,0.167,0.5835,0.833,0.26361159929654,"16.7% CI","[-5.4624, -5.2266]",TRUE
-5.46307770200645,-5.2258654434389,0.23721225856754,0.168,0.584,0.832,0.265344566520995,"16.8% CI","[-5.4631, -5.2259]",TRUE
-5.46379447480834,-5.22514867063701,0.238645804171322,0.169,0.5845,0.831,0.267079617891743,"16.9% CI","[-5.4638, -5.2251]",TRUE
-5.46451144377691,-5.22443170166844,0.240079742108477,0.17,0.585,0.83,0.2688167584278,"17% CI","[-5.4645, -5.2244]",TRUE
-5.46522861019925,-5.2237145352461,0.241514074953146,0.171,0.5855,0.829,0.270555993166337,"17.1% CI","[-5.4652, -5.2237]",TRUE
-5.46594597536477,-5.22299717008058,0.242948805284193,0.172,0.586,0.828,0.272297327162762,"17.2% CI","[-5.4659, -5.223]",TRUE
-5.4666635405653,-5.22227960488005,0.244383935685248,0.173,0.5865,0.827,0.274040765490812,"17.3% CI","[-5.4667, -5.2223]",TRUE
-5.46738130709504,-5.22156183835031,0.245819468744735,0.174,0.587,0.826,0.275786313242642,"17.4% CI","[-5.4674, -5.2216]",TRUE
-5.46809927625063,-5.22084386919472,0.247255407055917,0.175,0.5875,0.825,0.277533975528909,"17.5% CI","[-5.4681, -5.2208]",TRUE
-5.46881744933114,-5.22012569611421,0.248691753216926,0.176,0.588,0.824,0.279283757478869,"17.6% CI","[-5.4688, -5.2201]",TRUE
-5.46953582763807,-5.21940731780728,0.250128509830798,0.177,0.5885,0.823,0.281035664240461,"17.7% CI","[-5.4695, -5.2194]",TRUE
-5.47025441247543,-5.21868873296992,0.251565679505513,0.178,0.589,0.822,0.282789700980404,"17.8% CI","[-5.4703, -5.2187]",TRUE
-5.47097320514969,-5.21796994029566,0.253003264854033,0.179,0.5895,0.821,0.284545872884282,"17.9% CI","[-5.471, -5.218]",TRUE
-5.47169220696984,-5.21725093847551,0.254441268494336,0.18,0.59,0.82,0.286304185156641,"18% CI","[-5.4717, -5.2173]",TRUE
-5.4724114192474,-5.21653172619795,0.255879693049449,0.181,0.5905,0.819,0.288064643021078,"18.1% CI","[-5.4724, -5.2165]",TRUE
-5.47313084329642,-5.21581230214893,0.257318541147496,0.182,0.591,0.818,0.289827251720338,"18.2% CI","[-5.4731, -5.2158]",TRUE
-5.47385048043354,-5.21509266501181,0.258757815421726,0.183,0.5915,0.817,0.291592016516404,"18.3% CI","[-5.4739, -5.2151]",TRUE
-5.47457033197795,-5.2143728134674,0.26019751851055,0.184,0.592,0.816,0.293358942690591,"18.4% CI","[-5.4746, -5.2144]",TRUE
-5.47529039925147,-5.21365274619388,0.261637653057587,0.185,0.5925,0.815,0.295128035543647,"18.5% CI","[-5.4753, -5.2137]",TRUE
-5.47601068357852,-5.21293246186683,0.263078221711691,0.186,0.593,0.814,0.29689930039584,"18.6% CI","[-5.476, -5.2129]",TRUE
-5.47673118628618,-5.21221195915917,0.264519227127002,0.187,0.5935,0.813,0.298672742587059,"18.7% CI","[-5.4767, -5.2122]",TRUE
-5.47745190870416,-5.21149123674119,0.265960671962969,0.188,0.594,0.812,0.300448367476911,"18.8% CI","[-5.4775, -5.2115]",TRUE
